Name','Type','Region','Country','Lat','Long','Elev Ft.','Pop Est
Cornagunleog,city,Cavan,Ireland,54.0908333,-7.7108333,246,2052
Cornahaw,city,Cavan,Ireland,54.2461111,-7.9255556,498,2335
Corracleigh,city,Cavan,Ireland,54.1805556,-7.8633333,843,2433
Corraneary,city,Cavan,Ireland,53.9930556,-7.0247222,495,2426
Corravilla,city,Cavan,Ireland,53.9730556,-6.9536111,488,2548
Corraweelis,city,Cavan,Ireland,53.9619444,-7.3016667,498,2425
Corville,city,Cavan,Ireland,54.1047222,-7.6463889,239,2368
Cronery,city,Cavan,Ireland,54.1091667,-7.7588889,252,1939
Cross Forts,city,Cavan,Ireland,54.0280556,-7.3316667,396,2420
Crossdoney,city,Cavan,Ireland,53.9527778,-7.4333333,249,2426
Crossmakeelan,city,Cavan,Ireland,53.9394444,-6.9077778,784,2576
Cullentragh,city,Cavan,Ireland,54.0236111,-7.3052778,419,2420
Culliagh,city,Cavan,Ireland,54.1011111,-7.7325,246,2052
Cullies Cross Roads,city,Cavan,Ireland,53.9952778,-6.9661111,488,2455
Daggan,city,Cavan,Ireland,54.0283333,-7.3663889,255,2420
Danesfort,city,Cavan,Ireland,53.9888889,-7.4275,249,2425
Dernakesh,city,Cavan,Ireland,54.0213889,-7.0436111,390,2432
Derry,city,Cavan,Ireland,53.9922222,-7.5458333,249,2261
Derrydamph,city,Cavan,Ireland,53.9802778,-7.1591667,508,2425
Derrygoss,city,Cavan,Ireland,54.0480556,-7.405,232,2416
Derrylane,city,Cavan,Ireland,53.9669444,-7.5416667,311,2261
Derrynacreve,city,Cavan,Ireland,54.155,-7.7175,249,2364
Derrynananta,city,Cavan,Ireland,54.1625,-7.8711111,935,2125
Derryvony,city,Cavan,Ireland,54.1502778,-7.4202778,360,2614
Doogary,city,Cavan,Ireland,54.0377778,-7.6291667,249,1764
Dowra,city,Cavan,Ireland,54.1911111,-8.015,223,1788
Droichead an Bhuitlearaigh,city,Cavan,Ireland,54.0427778,-7.3763889,249,2416
Droichead an Bhuitléaraigh,city,Cavan,Ireland,54.0427778,-7.3763889,249,2416
Drumaloor,city,Cavan,Ireland,54.0705556,-7.4061111,311,2416
Drumalure,city,Cavan,Ireland,54.0705556,-7.4061111,311,2416
Drumane,city,Cavan,Ireland,54.1072222,-7.6180556,249,2454
Drumasladdy,city,Cavan,Ireland,54.0891667,-7.4977778,255,2491
Drumbar,city,Cavan,Ireland,54.1788889,-7.6661111,656,2626
