"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballinasloe, Galway Division",73,66,57,50,65,59,22
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballincollig, Cork City Division",45,46,46,40,45,39,23
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballindine, Mayo Division",2,3,0,2,0,1,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballineen, Cork West Division",2,4,1,3,0,4,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballingarry North, Tipperary Division",3,1,0,0,0,1,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballingarry South, Tipperary Division",1,6,3,0,0,4,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballingarry, Limerick Division",1,5,4,7,4,1,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballinhassig, Cork West Division",7,14,1,4,5,15,7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballinlough, Roscommon/Longford Division",14,5,5,8,6,3,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballinrobe, Mayo Division",17,12,24,13,12,23,10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballintra, Donegal Division",14,3,5,7,2,1,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballivor, Meath Division",12,15,18,8,6,7,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballon, Kilkenny/Carlow Division",7,5,4,6,1,4,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballybay, Cavan/Monaghan Division",24,17,17,8,3,13,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballybofey, Donegal Division",63,71,68,55,49,45,30
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballybunion, Kerry Division",28,11,7,13,6,12,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyconnell, Cavan/Monaghan Division",19,7,18,7,7,24,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballycotton, Cork North Division",6,7,1,1,2,1,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballycroy, Mayo Division",2,2,2,2,8,1,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballycullane, Wexford Division",4,4,3,4,5,5,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballydehob, Cork West Division",3,4,1,3,5,4,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballydesmond, Cork West Division",3,4,0,1,2,0,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyduff,  Co. Kerry, Kerry Division",13,3,2,8,8,8,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballyfermot, D.M.R. Western Division",78,82,120,100,91,69,46
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ballygar, Galway Division",9,4,7,6,4,1,3
